date,holding_count,gross_weight,event_exposed_weight,risk_event_weight,weighted_event_impact,weighted_positive_events,weighted_negative_events,weighted_risk_events
2023-05-22,3,0.8979102427683865,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-23,3,0.8957877228990414,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-24,3,0.8948777156998933,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-25,3,0.8953913958734223,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-26,3,0.892622378436422,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,3,0.8987718319508327,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-30,3,0.8979258198010187,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-31,3,0.8991033232113788,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,3,0.9001610098883246,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-02,3,0.899907268221035,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-05,3,0.8948091937180738,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-06,3,0.8961299428196545,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-07,3,0.8980016245718685,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-08,3,0.8990967034966713,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-09,3,0.8983854459372304,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-12,3,0.894990962613915,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-13,3,0.8947140305214508,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-14,3,0.8965381786311761,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-15,3,0.8961703792613975,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-16,3,0.8973927872041052,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-19,3,0.8932614509714851,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-20,3,0.8918084147035925,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-21,3,0.8923842541165101,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-22,3,0.8918210019694758,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-23,3,0.8916476056294653,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-26,3,0.893396537951455,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-27,3,0.8915815699531217,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-28,3,0.8893059214710068,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-29,3,0.887528494549721,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-30,3,0.8876991554119515,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03,3,0.8998132013179725,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-04,3,0.9001776019925116,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-05,3,0.9007766488370399,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-06,3,0.8994207402496317,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-07,3,0.9009645791213481,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-10,3,0.8943088220987674,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-11,3,0.8947961642895663,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-12,3,0.8954380903005477,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-13,3,0.8952749670531237,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-14,3,0.8962553574323366,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-17,3,0.8948251707896329,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-18,3,0.8948334964806299,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-19,3,0.8940733186185201,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-20,3,0.895293122415419,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-21,3,0.8944087693895806,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-24,3,0.8970273516955706,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-25,3,0.8982216420585682,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-26,3,0.8977599568929798,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-27,3,0.8987569202838467,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-28,3,0.8983154131580371,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-31,3,0.8931078780140806,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,3,0.89437166740057,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-02,3,0.8935098434553597,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-03,3,0.8933746465104369,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-04,3,0.8916193306246425,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-07,3,0.8978732913649019,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-08,3,0.8974203071985931,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-09,3,0.8987382231829919,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-10,3,0.8980690025965663,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-11,3,0.9010449656644841,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-14,3,0.8935533493217204,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-15,3,0.8939802023826208,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-16,3,0.8938619291880012,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-17,3,0.8931961535376696,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-18,3,0.8943532021135492,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-21,3,0.8959682583325957,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-22,3,0.8979169769187269,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-23,3,0.8982541140728421,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-24,3,0.9001600892812619,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-25,3,0.900426042642066,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-28,3,0.894738667541414,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-29,3,0.8960975708866408,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-30,3,0.8955746842492569,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-31,3,0.8943375366908135,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,3,0.895189572917165,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-04,3,0.8979608131622541,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-05,3,0.8979135869456043,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-06,3,0.8983550123689263,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-07,3,0.89712083905956,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-08,3,0.8945763079059036,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-11,3,0.8955915886830801,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-12,3,0.8964714889750475,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-13,3,0.8971475057217532,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-14,3,0.8986487775623428,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-15,3,0.897833661447343,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-18,3,0.8943525987498275,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-19,3,0.892326028168658,0.0,0.0,0.0,0.0,0.0,0.0
