date,symbol,side,price,shares,gross_value,fee,tax,cost_basis,realized_pnl,slippage_rate,close
2020-05-11,600547,BUY,25.167461474879996,100,2516.7461474879997,0.7550238442463998,0.0,0.0,0.0,0.0008,24.94588698
2020-05-11,600219,BUY,1.6521154958879998,1000,1652.1154958879997,0.49563464876639984,0.0,0.0,0.0,0.0008,1.65079486
2020-05-11,600111,BUY,9.052914122064,15900,143941.3345408176,43.182400362245275,0.0,0.0,0.0,0.0008,8.9681155
2020-05-11,000831,BUY,10.410346119599998,13800,143662.77645047999,43.09883293514399,0.0,0.0,0.0,0.0008,10.3029576
2020-05-18,600547,SELL,26.293351117888,200,5258.6702235776,1.5776010670732799,5.2586702235776,4787.379550166399,464.4544021205502,0.0008,27.7176522
2020-05-18,000807,SELL,3.57326040296,39100,139714.481755736,41.9143445267208,139.714481755736,140648.550116976,-1115.6971875224554,0.0008,3.6668858
2020-05-18,600111,SELL,9.34844115928,300,2804.532347784,0.8413597043352,2.8045323477840003,2715.8742366191996,85.01221911268158,0.0008,9.57891688
2020-05-18,000831,SELL,10.789653466319999,300,3236.896039896,0.9710688119687999,3.236896039896,3123.103835879999,109.58423916413585,0.0008,11.46204033
2020-05-18,002460,SELL,34.34181255359999,100,3434.1812553599993,1.0302543766079997,3.4341812553599995,2973.6373802975995,456.0794394304321,0.0008,33.66844368
2020-05-18,600988,BUY,9.53813630952,15300,145933.48553565601,43.7800456606968,0.0,0.0,0.0,0.0008,10.09055229
2020-05-18,600219,BUY,1.6363057782239998,2400,3927.1338677375998,1.1781401603212798,0.0,0.0,0.0,0.0008,1.6192007
2020-05-25,600219,SELL,1.6179053394399998,89600,144964.318413824,43.489295524147195,144.964318413824,145947.40861521597,-1171.5438153299328,0.0008,1.61130216
2020-05-25,600111,SELL,9.774691326128,600,5864.8147956768,1.7594444387030397,5.8648147956768,5431.748473238399,425.442063204021,0.0008,9.54013584
2020-05-25,000831,SELL,12.620924926199999,1900,23979.757359779996,7.193927207933998,23.979757359779995,19779.657627239998,4168.926047972287,0.0008,12.03662835
2020-05-25,600547,BUY,25.243937186544,300,7573.1811559632,2.27195434678896,0.0,0.0,0.0,0.0008,25.2862792
2020-05-25,600489,BUY,8.02869572232,18300,146925.13171845602,44.0775395155368,0.0,0.0,0.0,0.0008,7.86359548
2020-05-25,600988,BUY,9.125144840448,800,7300.115872358399,2.1900347617075195,0.0,0.0,0.0,0.0008,9.27505488
2020-05-25,002460,BUY,31.685525998271995,400,12674.210399308799,3.8022631197926393,0.0,0.0,0.0,0.0008,31.8758484
2020-06-01,600547,SELL,25.814406760144,5800,149723.55920883518,44.917067762650554,149.72355920883518,140624.23384150557,8904.684740358149,0.0008,26.23104128
2020-06-01,600988,SELL,9.827227193784,800,7861.781755027199,2.3585345265081594,7.8617817550272,7630.509047616,221.0523911296632,0.0008,9.93334797
2020-06-01,002460,SELL,33.93779122944,200,6787.558245888001,2.0362674737664,6.787558245888001,5947.274760595199,831.4596595731473,0.0008,34.69278384
2020-06-01,000807,BUY,3.6698193086399997,41100,150829.573585104,45.248872075531196,0.0,0.0,0.0,0.0008,3.71226805
2020-06-01,600111,BUY,9.683610175583999,600,5810.166105350399,1.7430498316051197,0.0,0.0,0.0,0.0008,9.7922126
2020-06-01,000831,BUY,12.175147652255998,800,9740.118121804799,2.922035436541439,0.0,0.0,0.0,0.0008,12.40317588
2020-06-08,000807,SELL,3.74557499092,2200,8240.264980024,2.4720794940071995,8.240264980024,8073.602479007999,155.95015654196868,0.0008,3.83933835
2020-06-08,600111,SELL,9.377503670655999,100,937.7503670655999,0.2813251101196799,0.9377503670655999,905.2914122064,31.23987938201458,0.0008,9.43348798
2020-06-08,002460,SELL,33.668443679999996,4400,148141.15219199998,44.44234565759999,148.141152192,131376.9046457088,16571.6640484416,0.0008,33.73583448
2020-06-08,600489,BUY,7.693431505343999,600,4616.058903206399,1.3848176709619195,0.0,0.0,0.0,0.0008,7.81070134
2020-06-08,600988,BUY,8.977647887207999,900,8079.883098487199,2.4239649295461594,0.0,0.0,0.0,0.0008,9.4322592
2020-06-08,600362,BUY,11.810722355064,12300,145271.8849672872,43.58156549018615,0.0,0.0,0.0,0.0008,11.90625937
2020-06-15,600489,SELL,7.654705942312,18900,144673.9423096968,43.40218269290904,144.6739423096968,151541.19062166242,-7055.3244369681925,0.0008,7.55504633
2020-06-15,600988,SELL,9.62106158832,1100,10583.167747152,3.1749503241455996,10.583167747152,10491.949940472,77.45968860870016,0.0008,9.42243393
2020-06-15,600362,BUY,11.346698422655999,500,5673.349211328,1.7020047633984,0.0,0.0,0.0,0.0008,11.26764296
2020-06-15,000878,BUY,8.842907471039998,16500,145907.97327216,43.77239198164799,0.0,0.0,0.0,0.0008,8.71151544
2020-06-15,000831,BUY,11.649673038599998,100,1164.9673038599997,0.3494901911579999,0.0,0.0,0.0,0.0008,11.21437308
2020-06-22,600988,SELL,9.797774964432001,7200,70543.97974391041,21.16319392317312,70.54397974391041,68674.581428544,1777.6911416993244,0.0008,10.30670823
2020-06-22,600362,SELL,11.730652104688,6200,72730.0430490656,21.81901291471968,72.7300430490656,73226.4786013968,-590.9846082949953,0.0008,11.64381427
2020-06-22,000878,SELL,9.352285141632,8300,77623.9666755456,23.287190002663678,77.6239666755456,73396.13200963198,4126.9235092354065,0.0008,9.22656936
2020-06-22,000807,SELL,3.91788957888,900,3526.100620992,1.0578301862975998,3.526100620992,3302.837377776,218.67931240871076,0.0008,4.0662496
2020-06-22,600111,SELL,9.25156612136,7200,66611.276073792,19.9833828221376,66.611276073792,65180.98167886079,1343.6997360352907,0.0008,9.29775434
2020-06-22,000831,SELL,11.314287992664,5700,64491.44155818479,19.347432467455437,64.49144155818479,59338.97288171999,5068.629802439165,0.0008,11.3926935
2020-06-22,601899,BUY,3.767665292856,19000,71585.640564264,21.4756921692792,0.0,0.0,0.0,0.0008,3.80042225
2020-06-22,603993,BUY,3.4188835204799997,20900,71454.665578032,21.436399673409596,0.0,0.0,0.0,0.0008,3.39817086
2020-06-22,000933,BUY,3.272412227112,21800,71338.5865510416,21.401575965312478,0.0,0.0,0.0,0.0008,3.2776002
2020-06-22,002460,BUY,36.851790986496,1900,70018.4028743424,21.005520862302717,0.0,0.0,0.0,0.0008,37.4692848
2020-06-22,002466,BUY,22.897553139791995,3100,70982.41473335518,21.294724420006553,0.0,0.0,0.0,0.0008,22.69488834
2020-06-29,600362,SELL,11.721910933223999,6200,72675.8477859888,21.802754335796635,72.6758477859888,73180.07620815601,-598.707024289004,0.0008,11.67880695
2020-06-29,000878,SELL,9.281300055168,7700,71466.0104247936,21.439803127438076,71.4660104247936,68090.38752700799,3282.717084233387,0.0008,9.29761128
2020-06-29,000807,SELL,3.9904430896,200,798.0886179199999,0.23942658537599995,0.79808861792,733.963861728,63.08724098870391,0.0008,3.9028735
2020-06-29,000933,SELL,3.251585418984,20500,66657.501089172,19.997250326751598,66.657501089172,67084.450655796,-513.6043180399138,0.0008,3.19175829
2020-06-29,600111,SELL,9.096566060688,7800,70953.2152733664,21.285964582009917,70.9532152733664,70675.7997574512,185.17633605981246,0.0008,8.93902972
2020-06-29,000831,SELL,11.096515170407999,6400,71017.6970906112,21.305309127183357,71.0176970906112,67508.61593176798,3416.758152625407,0.0008,11.01623928
2020-06-29,601899,BUY,3.910854472632,18300,71568.6368491656,21.47059105474968,0.0,0.0,0.0,0.0008,3.90772829
2020-06-29,603993,BUY,3.319915839624,23100,76690.0558953144,23.00701676859432,0.0,0.0,0.0,0.0008,3.29029242
2020-06-29,600988,BUY,11.35726539948,5000,56786.3269974,17.03589809922,0.0,0.0,0.0,0.0008,11.67242076
2020-06-29,002460,BUY,36.089665733664,2100,75788.2980406944,22.736489412208318,0.0,0.0,0.0,0.0008,36.04733892
2020-06-29,002466,BUY,23.478756140519998,3100,72784.144035612,21.835243210683597,0.0,0.0,0.0,0.0008,21.40435854
2020-07-06,603993,SELL,3.75991845696,44000,165436.41210624,49.630923631871994,165.43641210624,148144.7214733464,17076.623297155485,0.0008,3.953802
2020-07-06,000807,SELL,4.73411657448,4100,19409.877955368,5.822963386610399,19.409877955368,15046.259165423999,4338.385948602023,0.0008,4.91035945
2020-07-06,000933,SELL,3.67544269168,1300,4778.075499183999,1.4334226497551996,4.778075499183999,4254.1358952456,517.7281057894606,0.0008,3.9182801
2020-07-06,600111,SELL,9.600316257872,500,4800.158128936,1.4400474386808,4.800158128936,4841.8050877919995,-47.88716442361692,0.0008,10.24788982
2020-07-06,000831,SELL,11.809226225064,400,4723.6904900256,1.41710714700768,4.723690490025601,4817.511599536799,-99.96190714823115,0.0008,12.4824294
2020-07-06,002466,SELL,20.622747323016,6200,127861.0334026992,38.35831002080976,127.8610334026992,143766.55876896717,-16071.74470969147,0.0008,21.9390066
