date,symbol,shares,close,market_value,weight
2026-03-03,601958,38300,25.34,970522.0,0.17976554413574414
2026-03-03,000960,21000,43.61550264,915925.55544,0.16965288356318073
2026-03-03,600111,15300,55.4664888,848637.27864,0.15718937043013628
2026-03-03,000831,15000,57.46,861900.0,0.15964596628473943
2026-03-04,000630,120600,7.68037104,926252.747424,0.17074905958718178
2026-03-04,600497,86200,10.15889127,875696.427474,0.16142930953876483
2026-03-04,601958,38300,25.95,993885.0,0.1832166539422121
2026-03-04,000960,21000,42.2053475,886312.2975,0.1633862806016636
2026-03-04,600111,15300,55.84544,854435.2320000001,0.1575099374850991
2026-03-04,000831,15000,59.2,888000.0,0.16369739829123522
2026-03-05,000630,120600,7.60098736,916679.0756160001,0.17265642041902313
2026-03-05,600497,86200,9.95035098,857720.254476,0.16155153182612353
2026-03-05,601958,38300,25.02,958266.0,0.18048931383982358
2026-03-05,000960,21000,40.75546968,855864.8632799999,0.16120206906330978
2026-03-05,600111,15300,55.2271512,844975.41336,0.1591510421624765
2026-03-05,000831,15000,58.38,875700.0,0.1649380152583244
2026-03-06,000630,120600,7.41245112,893941.6050720001,0.17163778938471327
2026-03-06,600497,86200,9.76167167,841456.097954,0.161560513234507
2026-03-06,601958,38300,24.58,941413.9999999999,0.18075254237977462
2026-03-06,000960,21000,40.0206001,840432.6021,0.16136400088422792
2026-03-06,600111,15300,54.150132,828497.0196,0.15907235567642503
2026-03-06,000831,15000,57.5,862500.0,0.16560096599642202
2026-03-09,000630,23400,7.22391488,169039.60819199999,0.033474484931179556
2026-03-09,000807,19700,33.1218048,652499.55456,0.12921283207135234
2026-03-09,600219,91200,7.25246325,661424.6484,0.13098024577073278
2026-03-09,000933,19000,35.29649928,670633.48632,0.13280384859070965
2026-03-09,600497,17600,9.62264481,169358.548656,0.03353764390244258
2026-03-09,601958,34900,23.99,837251.0,0.16579869228803268
2026-03-09,000960,22200,38.59058362,856710.956364,0.16965229809696378
2026-03-09,600111,3100,53.7312912,166567.00272,0.03298484114000841
2026-03-09,000831,14900,57.34,854366.0,0.1691879323349358
2026-03-10,000630,23400,7.26360672,169968.397248,0.033852152107417495
2026-03-10,000807,19700,32.29375968,636187.065696,0.12670768016532563
2026-03-10,600219,91200,7.13564505,650770.8285599999,0.12961228929716495
2026-03-10,000933,19000,33.78768588,641966.03172,0.12785866140675373
2026-03-10,600497,17600,9.76167167,171805.421392,0.03421802730395152
2026-03-10,601958,34900,23.96,836204.0,0.16654451921157964
2026-03-10,000960,22200,39.60351196,879197.965512,0.17510751259022322
2026-03-10,600111,3100,53.8210428,166845.23268000002,0.033230119754790385
2026-03-10,000831,14900,57.45,856005.0,0.17048823154123663
2026-03-11,000630,23400,7.16437712,167646.424608,0.03371342543667885
2026-03-11,000807,19700,33.1710932,653470.53604,0.13141187021056103
2026-03-11,600219,91200,7.15511475,652546.4652,0.1312260410559256
2026-03-11,000933,19000,34.92659664,663605.33616,0.13344996215889926
2026-03-11,600497,17600,9.90069853,174252.29412799998,0.035041855136433514
2026-03-11,601958,34900,23.15,807935.0,0.16247442463430462
2026-03-11,000960,22200,38.79912769,861340.634718,0.17321421158874634
2026-03-11,600111,3100,52.2354312,161929.83672,0.03256382883797445
2026-03-11,000831,14900,54.9,818010.0,0.1645004908750178
2026-03-12,000630,23400,7.0949164,166021.04376,0.03302840091046741
2026-03-12,000807,19700,34.73846432,684347.747104,0.13614485996245657
2026-03-12,600219,91200,7.4374254,678293.19648,0.13494036129883372
2026-03-12,000933,19000,37.02920112,703554.82128,0.13996593548297356
2026-03-12,600497,17600,9.91062902,174427.070752,0.03470070475381235
2026-03-12,601958,34900,22.82,796418.0,0.15844023384371858
2026-03-12,000960,22200,38.01460476,843924.225672,0.16789117230129255
2026-03-12,600111,3100,51.5473356,159796.74036,0.03179013145120073
2026-03-12,000831,14900,54.22,807878.0,0.16072009828657272
2026-03-13,000630,23400,6.8964572,161377.09848000002,0.03306052618984542
2026-03-13,000807,19700,34.255438,674832.1285999999,0.13824951292016455
2026-03-13,600219,91200,7.17458445,654322.10184,0.1340477254097921
2026-03-13,000933,19000,35.90002464,682100.4681599999,0.139738541615335
